threshold,aep,ari,longitude,latitude,hit
0.1000000000,0.0000000040,249999999.9999999702,23.9894300000,12.6528776978,1
0.1000000000,0.0000000080,124999999.9999999851,24.0343500000,12.6528776978,1
0.1000000000,0.0000000080,124999999.9999999851,24.0792700000,12.6528776978,1
0.1000000000,0.0000000080,124999999.9999999851,24.1241800000,12.6528776978,1
0.1000000000,0.0000000140,71428571.4285714328,24.1691000000,12.6528776978,1
0.1000000000,0.0000000240,41666666.6666666642,24.2140100000,12.6528776978,1
0.1000000000,0.0000000320,31249999.9999999963,24.2589300000,12.6528776978,1
0.1000000000,0.0000000340,29411764.7058823518,24.3038500000,12.6528776978,1
0.1000000000,0.0000000280,35714285.7142857164,24.3487600000,12.6528776978,1
0.1000000000,0.0000000100,100000000.0000000000,24.3936800000,12.6528776978,1
0.1000000000,0.0000000060,166666666.6666666567,24.4385900000,12.6528776978,1
0.1000000000,0.0000000020,499999999.9999999404,24.4835100000,12.6528776978,1
0.1000000000,0.0000000020,499999999.9999999404,23.8996000000,12.6978417266,1
0.1000000000,0.0000000040,249999999.9999999702,23.9445200000,12.6978417266,1
0.1000000000,0.0000000060,166666666.6666666567,23.9894300000,12.6978417266,1
0.1000000000,0.0000000120,83333333.3333333284,24.0343500000,12.6978417266,1
0.1000000000,0.0000000140,71428571.4285714328,24.0792700000,12.6978417266,1
0.1000000000,0.0000000160,62499999.9999999925,24.1241800000,12.6978417266,1
0.1000000000,0.0000000280,35714285.7142857164,24.1691000000,12.6978417266,1
0.1000000000,0.0000000500,20000000.0000000000,24.2140100000,12.6978417266,1
0.1000000000,0.0000000600,16666666.6666666679,24.2589300000,12.6978417266,1
0.1000000000,0.0000000620,16129032.2580645159,24.3038500000,12.6978417266,1
0.1000000000,0.0000000520,19230769.2307692282,24.3487600000,12.6978417266,1
0.1000000000,0.0000000300,33333333.3333333358,24.3936800000,12.6978417266,1
0.1000000000,0.0000000060,166666666.6666666567,24.4385900000,12.6978417266,1
0.1000000000,0.0000000060,166666666.6666666567,24.4835100000,12.6978417266,1
0.1000000000,0.0000000060,166666666.6666666567,24.5284200000,12.6978417266,1
0.1000000000,0.0000000040,249999999.9999999702,24.5733400000,12.6978417266,1
0.1000000000,0.0000000040,249999999.9999999702,24.6182600000,12.6978417266,1
0.1000000000,0.0000000040,249999999.9999999702,24.6631700000,12.6978417266,1
0.1000000000,0.0000000040,249999999.9999999702,24.7080900000,12.6978417266,1
0.1000000000,0.0000000100,100000000.0000000000,23.9445200000,12.7428057554,1
0.1000000000,0.0000000140,71428571.4285714328,23.9894300000,12.7428057554,1
0.1000000000,0.0000000220,45454545.4545454606,24.0343500000,12.7428057554,1
0.1000000000,0.0000000300,33333333.3333333358,24.0792700000,12.7428057554,1
0.1000000000,0.0000000340,29411764.7058823518,24.1241800000,12.7428057554,1
0.1000000000,0.0000000560,17857142.8571428582,24.1691000000,12.7428057554,1
0.1000000000,0.0000000780,12820512.8205128219,24.2140100000,12.7428057554,1
0.1000000000,0.0000001240,8064516.1290322579,24.2589300000,12.7428057554,1
0.1000000000,0.0000000940,10638297.8723404258,24.3038500000,12.7428057554,1
0.1000000000,0.0000000940,10638297.8723404258,24.3487600000,12.7428057554,1
0.1000000000,0.0000000740,13513513.5135135129,24.3936800000,12.7428057554,1
0.1000000000,0.0000000520,19230769.2307692282,24.4385900000,12.7428057554,1
0.1000000000,0.0000000360,27777777.7777777798,24.4835100000,12.7428057554,1
0.1000000000,0.0000000220,45454545.4545454606,24.5284200000,12.7428057554,1
0.1000000000,0.0000000140,71428571.4285714328,24.5733400000,12.7428057554,1
0.1000000000,0.0000000120,83333333.3333333284,24.6182600000,12.7428057554,1
0.1000000000,0.0000000120,83333333.3333333284,24.6631700000,12.7428057554,1
0.1000000000,0.0000000120,83333333.3333333284,24.7080900000,12.7428057554,1
0.1000000000,0.0000000040,249999999.9999999702,24.7530000000,12.7428057554,1
0.1000000000,0.0000000040,249999999.9999999702,23.8996000000,12.7877697842,1
0.1000000000,0.0000000100,100000000.0000000000,23.9445200000,12.7877697842,1
0.1000000000,0.0000000200,50000000.0000000000,23.9894300000,12.7877697842,1
0.1000000000,0.0000000400,25000000.0000000000,24.0343500000,12.7877697842,1
0.1000000000,0.0000000460,21739130.4347826093,24.0792700000,12.7877697842,1
0.1000000000,0.0000000560,17857142.8571428582,24.1241800000,12.7877697842,1
0.1000000000,0.0000000760,13157894.7368421052,24.1691000000,12.7877697842,1
