threshold,aep,ari,longitude,latitude,hit
0.1000000000,0.0000015600,641044.7490902774,38.6768900000,-47.3741007194,1
0.1000000000,0.0000005200,1923134.2472708321,38.7218100000,-47.3741007194,1
0.1000000000,0.0000005200,1923134.2472708321,38.7667200000,-47.3741007194,1
0.1000000000,0.0000005200,1923134.2472708321,38.8116400000,-47.3741007194,1
0.1000000000,0.0000005200,1923134.2472708321,37.6438300000,-47.3291366906,1
0.1000000000,0.0000025999,384626.8494541664,37.6887400000,-47.3291366906,1
0.1000000000,0.0000025999,384626.8494541664,37.7336600000,-47.3291366906,1
0.1000000000,0.0000025999,384626.8494541664,37.7785700000,-47.3291366906,1
0.1000000000,0.0000015600,641044.7490902774,37.8234900000,-47.3291366906,1
0.1000000000,0.0000010400,961567.1236354160,37.8684100000,-47.3291366906,1
0.1000000000,0.0000010400,961567.1236354160,37.9133200000,-47.3291366906,1
0.1000000000,0.0000010400,961567.1236354160,37.9582400000,-47.3291366906,1
0.1000000000,0.0000015600,641044.7490902774,38.0031500000,-47.3291366906,1
0.1000000000,0.0000015600,641044.7490902774,38.0480700000,-47.3291366906,1
0.1000000000,0.0000031199,320522.3745451387,38.0929800000,-47.3291366906,1
0.1000000000,0.0000031199,320522.3745451387,38.1379000000,-47.3291366906,1
0.1000000000,0.0000025999,384626.8494541664,38.1828200000,-47.3291366906,1
0.1000000000,0.0000031199,320522.3745451387,38.2277300000,-47.3291366906,1
0.1000000000,0.0000031199,320522.3745451387,38.2726500000,-47.3291366906,1
0.1000000000,0.0000046799,213681.5830300924,38.3175600000,-47.3291366906,1
0.1000000000,0.0000041599,240391.7809088540,38.3624800000,-47.3291366906,1
0.1000000000,0.0000041599,240391.7809088540,38.4074000000,-47.3291366906,1
0.1000000000,0.0000041599,240391.7809088540,38.4523100000,-47.3291366906,1
0.1000000000,0.0000025999,384626.8494541664,38.4972300000,-47.3291366906,1
0.1000000000,0.0000025999,384626.8494541664,38.5421400000,-47.3291366906,1
0.1000000000,0.0000020799,480783.5618177080,38.5870600000,-47.3291366906,1
0.1000000000,0.0000005200,1923134.2472708321,38.6319700000,-47.3291366906,1
0.1000000000,0.0000010400,961567.1236354160,38.6768900000,-47.3291366906,1
0.1000000000,0.0000020799,480783.5618177080,38.7218100000,-47.3291366906,1
0.1000000000,0.0000015600,641044.7490902774,38.7667200000,-47.3291366906,1
0.1000000000,0.0000015600,641044.7490902774,38.8116400000,-47.3291366906,1
0.1000000000,0.0000010400,961567.1236354160,38.8565500000,-47.3291366906,1
0.1000000000,0.0000005200,1923134.2472708321,38.9014700000,-47.3291366906,1
0.1000000000,0.0000005200,1923134.2472708321,37.2395900000,-47.2841726619,1
0.1000000000,0.0000020799,480783.5618177080,37.6438300000,-47.2841726619,1
0.1000000000,0.0000031199,320522.3745451387,37.6887400000,-47.2841726619,1
0.1000000000,0.0000025999,384626.8494541664,37.7336600000,-47.2841726619,1
0.1000000000,0.0000031199,320522.3745451387,37.7785700000,-47.2841726619,1
0.1000000000,0.0000036399,274733.4638958331,37.8234900000,-47.2841726619,1
