threshold,aep,ari,longitude,latitude,hit
0.1000000000,0.0000041353,241817.9681390318,30.5022200000,0.6924460432,1
0.1000000000,0.0000026265,380734.6732401777,30.5471400000,0.6924460432,1
0.1000000000,0.0000017044,586705.8899110935,30.5920500000,0.6924460432,1
0.1000000000,0.0000008662,1154485.7833734420,30.6369700000,0.6924460432,1
0.1000000000,0.0000005309,1883634.6991882478,30.6818800000,0.6924460432,1
0.1000000000,0.0000003912,2556361.3774697646,30.7268000000,0.6924460432,1
0.1000000000,0.0000001956,5112722.7549395291,30.7717200000,0.6924460432,1
0.1000000000,0.0000000559,17894529.6422883533,30.8166300000,0.6924460432,1
0.1000000000,0.0000000279,35789059.2845767066,29.8734000000,0.7374100719,1
0.1000000000,0.0000001956,5112722.7549395291,29.9183200000,0.7374100719,1
0.1000000000,0.0000006427,1556046.0558511610,29.9632300000,0.7374100719,1
0.1000000000,0.0000016206,617052.7462858052,30.0081500000,0.7374100719,1
0.1000000000,0.0000038839,257475.2466516310,30.0530600000,0.7374100719,1
0.1000000000,0.0000074324,134545.3356563034,30.0979800000,0.7374100719,1
0.1000000000,0.0000133840,74716.1989239597,30.1428900000,0.7374100719,1
0.1000000000,0.0000220179,45417.5879245897,30.1878100000,0.7374100719,1
0.1000000000,0.0000283047,35329.7722453867,30.2327300000,0.7374100719,1
0.1000000000,0.0000263768,37912.1390726448,30.2776400000,0.7374100719,1
0.1000000000,0.0000195870,51054.2928453305,30.3225600000,0.7374100719,1
0.1000000000,0.0000146134,68430.3236798790,30.3674700000,0.7374100719,1
0.1000000000,0.0000102545,97517.8727100183,30.4123900000,0.7374100719,1
0.1000000000,0.0000065104,153601.1128093421,30.4573000000,0.7374100719,1
0.1000000000,0.0000041074,243462.9883304538,30.5022200000,0.7374100719,1
0.1000000000,0.0000027662,361505.6493391587,30.5471400000,0.7374100719,1
0.1000000000,0.0000016485,606594.2251623170,30.5920500000,0.7374100719,1
0.1000000000,0.0000010338,967271.8725561271,30.6369700000,0.7374100719,1
0.1000000000,0.0000005029,1988281.0713653725,30.6818800000,0.7374100719,1
0.1000000000,0.0000003074,3253550.8440524279,30.7268000000,0.7374100719,1
0.1000000000,0.0000001956,5112722.7549395291,30.7717200000,0.7374100719,1
0.1000000000,0.0000000279,35789059.2845767066,29.8734000000,0.7823741007,1
0.1000000000,0.0000001118,8947264.8211441766,29.9183200000,0.7823741007,1
0.1000000000,0.0000003912,2556361.3774697646,29.9632300000,0.7823741007,1
0.1000000000,0.0000012853,778023.0279255805,30.0081500000,0.7823741007,1
0.1000000000,0.0000028500,350873.1302409481,30.0530600000,0.7823741007,1
0.1000000000,0.0000056442,177173.5608147361,30.0979800000,0.7823741007,1
0.1000000000,0.0000094722,105572.4462671879,30.1428900000,0.7823741007,1
0.1000000000,0.0000154237,64835.2523271317,30.1878100000,0.7823741007,1
0.1000000000,0.0000229679,43539.0015627454,30.2327300000,0.7823741007,1
0.1000000000,0.0000209282,47782.4556536405,30.2776400000,0.7823741007,1
0.1000000000,0.0000152561,65547.7276274299,30.3225600000,0.7823741007,1
0.1000000000,0.0000111766,89472.6482114418,30.3674700000,0.7823741007,1
0.1000000000,0.0000071810,139257.0400178082,30.4123900000,0.7823741007,1
0.1000000000,0.0000050295,198828.1071365372,30.4573000000,0.7823741007,1
0.1000000000,0.0000034647,288621.4458433605,30.5022200000,0.7823741007,1
0.1000000000,0.0000022353,447363.2410572088,30.5471400000,0.7823741007,1
0.1000000000,0.0000015368,650710.1688104855,30.5920500000,0.7823741007,1
0.1000000000,0.0000007824,1278180.6887348823,30.6369700000,0.7823741007,1
0.1000000000,0.0000004471,2236816.2052860442,30.6818800000,0.7823741007,1
0.1000000000,0.0000001956,5112722.7549395291,30.7268000000,0.7823741007,1
0.1000000000,0.0000000559,17894529.6422883533,30.7717200000,0.7823741007,1
0.1000000000,0.0000000279,35789059.2845767066,30.8166300000,0.7823741007,1
0.1000000000,0.0000000279,35789059.2845767066,30.8615500000,0.7823741007,1
0.1000000000,0.0000000559,17894529.6422883533,29.9183200000,0.8273381295,1
0.1000000000,0.0000001956,5112722.7549395291,29.9632300000,0.8273381295,1
0.1000000000,0.0000008662,1154485.7833734420,30.0081500000,0.8273381295,1
0.1000000000,0.0000014250,701746.2604818961,30.0530600000,0.8273381295,1
0.1000000000,0.0000029339,340848.1836626353,30.0979800000,0.8273381295,1
0.1000000000,0.0000043589,229417.0466960045,30.1428900000,0.8273381295,1
0.1000000000,0.0000063148,158358.6694007819,30.1878100000,0.8273381295,1
0.1000000000,0.0000074604,134041.4205414858,30.2327300000,0.8273381295,1
0.1000000000,0.0000080472,124267.5669603358,30.2776400000,0.8273381295,1
0.1000000000,0.0000064265,155604.6055851161,30.3225600000,0.8273381295,1
0.1000000000,0.0000056442,177173.5608147361,30.3674700000,0.8273381295,1
0.1000000000,0.0000042471,235454.3373985310,30.4123900000,0.8273381295,1
0.1000000000,0.0000031853,313939.1165313746,30.4573000000,0.8273381295,1
0.1000000000,0.0000021794,458834.0933920091,30.5022200000,0.8273381295,1
0.1000000000,0.0000013971,715781.1856915341,30.5471400000,0.8273381295,1
0.1000000000,0.0000007265,1376502.2801760272,30.5920500000,0.8273381295,1
0.1000000000,0.0000003912,2556361.3774697646,30.6369700000,0.8273381295,1
0.1000000000,0.0000002235,4473632.4105720883,30.6818800000,0.8273381295,1
0.1000000000,0.0000000559,17894529.6422883533,30.7268000000,0.8273381295,1
0.1000000000,0.0000000559,17894529.6422883533,30.7717200000,0.8273381295,1
0.1000000000,0.0000000279,35789059.2845767066,30.8166300000,0.8273381295,1
0.1000000000,0.0000000279,35789059.2845767066,30.8615500000,0.8273381295,1
0.1000000000,0.0000000279,35789059.2845767066,30.9064600000,0.8273381295,1
0.1000000000,0.0000000838,11929686.4281922355,29.9632300000,0.8723021583,1
0.1000000000,0.0000002235,4473632.4105720883,30.0081500000,0.8723021583,1
0.1000000000,0.0000004750,2105238.7814456886,30.0530600000,0.8723021583,1
0.1000000000,0.0000008941,1118408.1026430221,30.0979800000,0.8723021583,1
0.1000000000,0.0000013133,761469.3464803555,30.1428900000,0.8723021583,1
0.1000000000,0.0000015927,627878.2330627491,30.1878100000,0.8723021583,1
0.1000000000,0.0000020956,477187.4571276894,30.2327300000,0.8723021583,1
0.1000000000,0.0000018721,534165.0639489060,30.2776400000,0.8723021583,1
0.1000000000,0.0000020956,477187.4571276894,30.3225600000,0.8723021583,1
0.1000000000,0.0000019280,518682.0186170536,30.3674700000,0.8723021583,1
0.1000000000,0.0000014809,675265.2695203152,30.4123900000,0.8723021583,1
0.1000000000,0.0000012015,832303.7042924815,30.4573000000,0.8723021583,1
0.1000000000,0.0000009500,1052619.3907228443,30.5022200000,0.8723021583,1
0.1000000000,0.0000006427,1556046.0558511610,30.5471400000,0.8723021583,1
0.1000000000,0.0000004191,2385937.2856384469,30.5920500000,0.8723021583,1
0.1000000000,0.0000002235,4473632.4105720883,30.6369700000,0.8723021583,1
0.1000000000,0.0000000838,11929686.4281922355,30.6818800000,0.8723021583,1
0.1000000000,0.0000000279,35789059.2845767066,30.7268000000,0.8723021583,1
0.1000000000,0.0000000279,35789059.2845767066,30.7717200000,0.8723021583,1
0.1000000000,0.0000000279,35789059.2845767066,30.8166300000,0.8723021583,1
0.1000000000,0.0000000279,35789059.2845767066,30.8615500000,0.8723021583,1
0.1000000000,0.0000000279,35789059.2845767066,30.9064600000,0.8723021583,1
0.1000000000,0.0000000279,35789059.2845767066,30.9513800000,0.8723021583,1
0.1000000000,0.0000001118,8947264.8211441766,30.0081500000,0.9172661871,1
0.1000000000,0.0000001956,5112722.7549395291,30.0530600000,0.9172661871,1
0.1000000000,0.0000002794,3578905.9284576704,30.0979800000,0.9172661871,1
0.1000000000,0.0000005029,1988281.0713653725,30.1428900000,0.9172661871,1
0.1000000000,0.0000005588,1789452.9642288352,30.1878100000,0.9172661871,1
0.1000000000,0.0000006427,1556046.0558511610,30.2327300000,0.9172661871,1
0.1000000000,0.0000006706,1491210.8035240294,30.2776400000,0.9172661871,1
0.1000000000,0.0000006985,1431562.3713830682,30.3225600000,0.9172661871,1
0.1000000000,0.0000005868,1704240.9183131764,30.3674700000,0.9172661871,1
0.1000000000,0.0000006147,1626775.4220262140,30.4123900000,0.9172661871,1
0.1000000000,0.0000005309,1883634.6991882478,30.4573000000,0.9172661871,1
0.1000000000,0.0000003074,3253550.8440524279,30.5022200000,0.9172661871,1
0.1000000000,0.0000002235,4473632.4105720883,30.5471400000,0.9172661871,1
0.1000000000,0.0000001676,5964843.2140961178,30.5920500000,0.9172661871,1
0.1000000000,0.0000001118,8947264.8211441766,30.6369700000,0.9172661871,1
0.1000000000,0.0000000559,17894529.6422883533,30.6818800000,0.9172661871,1
0.1000000000,0.0000000279,35789059.2845767066,30.7717200000,0.9172661871,1
0.1000000000,0.0000000279,35789059.2845767066,30.8166300000,0.9172661871,1
0.1000000000,0.0000000279,35789059.2845767066,30.8615500000,0.9172661871,1
0.1000000000,0.0000000279,35789059.2845767066,30.9064600000,0.9172661871,1
