threshold,aep,longitude,latitude,hit
0.1000000000,0.0000000700,24.3038500000,13.1474820144,1
0.1000000000,0.0000000700,24.3487600000,13.1474820144,1
0.1000000000,0.0000000560,24.3936800000,13.1474820144,1
0.1000000000,0.0000000540,24.4385900000,13.1474820144,1
0.1000000000,0.0000000560,24.4835100000,13.1474820144,1
0.1000000000,0.0000000520,24.5284200000,13.1474820144,1
0.1000000000,0.0000000400,24.5733400000,13.1474820144,1
0.1000000000,0.0000000220,24.6182600000,13.1474820144,1
0.1000000000,0.0000000140,24.6631700000,13.1474820144,1
0.1000000000,0.0000000140,24.7080900000,13.1474820144,1
0.1000000000,0.0000000120,24.7530000000,13.1474820144,1
0.1000000000,0.0000000080,24.7979200000,13.1474820144,1
0.1000000000,0.0000000080,24.8428300000,13.1474820144,1
0.1000000000,0.0000000080,24.8877500000,13.1474820144,1
0.1000000000,0.0000000040,24.9326700000,13.1474820144,1
0.1000000000,0.0000000040,24.9775800000,13.1474820144,1
0.1000000000,0.0000000020,25.0225000000,13.1474820144,1
0.1000000000,0.0000000020,23.9894300000,13.1924460432,1
0.1000000000,0.0000000040,24.0343500000,13.1924460432,1
0.1000000000,0.0000000080,24.0792700000,13.1924460432,1
0.1000000000,0.0000000100,24.1241800000,13.1924460432,1
0.1000000000,0.0000000120,24.1691000000,13.1924460432,1
0.1000000000,0.0000000120,24.2140100000,13.1924460432,1
0.1000000000,0.0000000080,24.2589300000,13.1924460432,1
0.1000000000,0.0000000100,24.3487600000,13.1924460432,1
0.1000000000,0.0000000140,24.3936800000,13.1924460432,1
0.1000000000,0.0000000180,24.4385900000,13.1924460432,1
0.1000000000,0.0000000200,24.4835100000,13.1924460432,1
0.1000000000,0.0000000200,24.5284200000,13.1924460432,1
0.1000000000,0.0000000180,24.5733400000,13.1924460432,1
0.1000000000,0.0000000100,24.6182600000,13.1924460432,1
0.1000000000,0.0000000080,24.6631700000,13.1924460432,1
0.1000000000,0.0000000040,24.7080900000,13.1924460432,1
0.1000000000,0.0000000040,24.7530000000,13.1924460432,1
0.1000000000,0.0000000040,24.7979200000,13.1924460432,1
0.1000000000,0.0000000040,24.8428300000,13.1924460432,1
0.1000000000,0.0000000040,24.8877500000,13.1924460432,1
0.1000000000,0.0000000020,24.1241800000,13.2374100719,1
0.1000000000,0.0000000040,24.1691000000,13.2374100719,1
0.1000000000,0.0000000040,24.2140100000,13.2374100719,1
0.1000000000,0.0000000080,24.3936800000,13.2374100719,1
0.1000000000,0.0000000100,24.4385900000,13.2374100719,1
0.1000000000,0.0000000120,24.4835100000,13.2374100719,1
0.1000000000,0.0000000120,24.5284200000,13.2374100719,1
0.1000000000,0.0000000120,24.5733400000,13.2374100719,1
0.1000000000,0.0000000100,24.6182600000,13.2374100719,1
0.1000000000,0.0000000080,24.4835100000,13.2823741007,1
0.1000000000,0.0000000080,24.5284200000,13.2823741007,1
0.1000000000,0.0000000100,24.5733400000,13.2823741007,1
0.1000000000,0.0000000060,24.6182600000,13.2823741007,1
0.1000000000,0.0000000020,24.5733400000,13.3273381295,1
0.1000000000,0.0000000709,26.3699700000,14.9010791367,1
0.1000000000,0.0000001418,26.4148900000,14.9010791367,1
0.1000000000,0.0000000354,26.4598000000,14.9010791367,1
0.1000000000,0.0000000354,26.5945500000,14.9010791367,1
0.1000000000,0.0000000709,26.6394600000,14.9010791367,1
0.1000000000,0.0000001063,26.6843800000,14.9010791367,1
0.1000000000,0.0000000709,26.7293000000,14.9010791367,1
0.1000000000,0.0000000354,26.3250500000,14.9460431655,1
0.1000000000,0.0000001772,26.3699700000,14.9460431655,1
0.1000000000,0.0000002126,26.4148900000,14.9460431655,1
0.1000000000,0.0000001772,26.4598000000,14.9460431655,1
0.1000000000,0.0000001418,26.5047200000,14.9460431655,1
0.1000000000,0.0000001063,26.5496300000,14.9460431655,1
0.1000000000,0.0000002481,26.5945500000,14.9460431655,1
0.1000000000,0.0000002481,26.6394600000,14.9460431655,1
0.1000000000,0.0000001418,26.6843800000,14.9460431655,1
0.1000000000,0.0000001418,26.7293000000,14.9460431655,1
0.1000000000,0.0000000354,26.7742100000,14.9460431655,1
0.1000000000,0.0000001772,26.3250500000,14.9910071942,1
0.1000000000,0.0000002835,26.3699700000,14.9910071942,1
0.1000000000,0.0000002835,26.4148900000,14.9910071942,1
0.1000000000,0.0000002835,26.4598000000,14.9910071942,1
0.1000000000,0.0000003189,26.5047200000,14.9910071942,1
0.1000000000,0.0000003544,26.5496300000,14.9910071942,1
0.1000000000,0.0000003898,26.5945500000,14.9910071942,1
0.1000000000,0.0000003189,26.6394600000,14.9910071942,1
0.1000000000,0.0000002835,26.6843800000,14.9910071942,1
0.1000000000,0.0000001418,26.7293000000,14.9910071942,1
0.1000000000,0.0000000354,26.7742100000,14.9910071942,1
0.1000000000,0.0000000354,26.1903100000,15.0359712230,1
0.1000000000,0.0000000354,26.2352200000,15.0359712230,1
0.1000000000,0.0000001418,26.2801400000,15.0359712230,1
0.1000000000,0.0000003898,26.3250500000,15.0359712230,1
0.1000000000,0.0000004607,26.3699700000,15.0359712230,1
0.1000000000,0.0000004607,26.4148900000,15.0359712230,1
0.1000000000,0.0000004607,26.4598000000,15.0359712230,1
0.1000000000,0.0000004253,26.5047200000,15.0359712230,1
0.1000000000,0.0000006024,26.5496300000,15.0359712230,1
0.1000000000,0.0000005316,26.5945500000,15.0359712230,1
0.1000000000,0.0000004607,26.6394600000,15.0359712230,1
0.1000000000,0.0000003189,26.6843800000,15.0359712230,1
0.1000000000,0.0000002126,26.7293000000,15.0359712230,1
0.1000000000,0.0000000709,26.7742100000,15.0359712230,1
0.1000000000,0.0000000354,26.1903100000,15.0809352518,1
0.1000000000,0.0000001063,26.2352200000,15.0809352518,1
0.1000000000,0.0000002835,26.2801400000,15.0809352518,1
0.1000000000,0.0000005316,26.3250500000,15.0809352518,1
0.1000000000,0.0000006733,26.3699700000,15.0809352518,1
0.1000000000,0.0000007088,26.4148900000,15.0809352518,1
0.1000000000,0.0000007796,26.4598000000,15.0809352518,1
0.1000000000,0.0000007796,26.5047200000,15.0809352518,1
0.1000000000,0.0000009214,26.5496300000,15.0809352518,1
0.1000000000,0.0000009214,26.5945500000,15.0809352518,1
0.1000000000,0.0000007796,26.6394600000,15.0809352518,1
0.1000000000,0.0000004253,26.6843800000,15.0809352518,1
0.1000000000,0.0000003544,26.7293000000,15.0809352518,1
0.1000000000,0.0000000709,26.7742100000,15.0809352518,1
0.1000000000,0.0000001063,26.1903100000,15.1258992806,1
0.1000000000,0.0000001772,26.2352200000,15.1258992806,1
0.1000000000,0.0000004607,26.2801400000,15.1258992806,1
0.1000000000,0.0000007088,26.3250500000,15.1258992806,1
0.1000000000,0.0000008859,26.3699700000,15.1258992806,1
0.1000000000,0.0000011340,26.4148900000,15.1258992806,1
0.1000000000,0.0000017010,26.4598000000,15.1258992806,1
0.1000000000,0.0000017365,26.5047200000,15.1258992806,1
0.1000000000,0.0000015947,26.5496300000,15.1258992806,1
0.1000000000,0.0000013112,26.5945500000,15.1258992806,1
0.1000000000,0.0000010631,26.6394600000,15.1258992806,1
0.1000000000,0.0000007088,26.6843800000,15.1258992806,1
0.1000000000,0.0000005316,26.7293000000,15.1258992806,1
0.1000000000,0.0000002835,26.7742100000,15.1258992806,1
0.1000000000,0.0000001063,26.8191300000,15.1258992806,1
0.1000000000,0.0000000354,26.8640400000,15.1258992806,1
0.1000000000,0.0000000354,26.9089600000,15.1258992806,1
0.1000000000,0.0000000354,26.0106400000,15.1708633094,1
0.1000000000,0.0000000354,26.0555600000,15.1708633094,1
0.1000000000,0.0000000709,26.1004800000,15.1708633094,1
0.1000000000,0.0000000709,26.1453900000,15.1708633094,1
0.1000000000,0.0000001772,26.1903100000,15.1708633094,1
0.1000000000,0.0000003189,26.2352200000,15.1708633094,1
0.1000000000,0.0000005670,26.2801400000,15.1708633094,1
0.1000000000,0.0000008859,26.3250500000,15.1708633094,1
0.1000000000,0.0000013112,26.3699700000,15.1708633094,1
0.1000000000,0.0000020908,26.4148900000,15.1708633094,1
0.1000000000,0.0000029414,26.4598000000,15.1708633094,1
0.1000000000,0.0000032603,26.5047200000,15.1708633094,1
0.1000000000,0.0000029059,26.5496300000,15.1708633094,1
0.1000000000,0.0000025870,26.5945500000,15.1708633094,1
0.1000000000,0.0000020200,26.6394600000,15.1708633094,1
0.1000000000,0.0000014884,26.6843800000,15.1708633094,1
0.1000000000,0.0000010986,26.7293000000,15.1708633094,1
0.1000000000,0.0000006024,26.7742100000,15.1708633094,1
0.1000000000,0.0000003544,26.8191300000,15.1708633094,1
0.1000000000,0.0000002126,26.8640400000,15.1708633094,1
0.1000000000,0.0000001063,26.9089600000,15.1708633094,1
0.1000000000,0.0000000709,26.9538800000,15.1708633094,1
0.1000000000,0.0000000354,26.9987900000,15.1708633094,1
0.1000000000,0.0000000354,27.0437100000,15.1708633094,1
0.1000000000,0.0000000354,25.9657300000,15.2158273381,1
0.1000000000,0.0000000354,26.0106400000,15.2158273381,1
0.1000000000,0.0000000354,26.0555600000,15.2158273381,1
0.1000000000,0.0000002126,26.1004800000,15.2158273381,1
0.1000000000,0.0000002481,26.1453900000,15.2158273381,1
0.1000000000,0.0000004607,26.1903100000,15.2158273381,1
0.1000000000,0.0000009214,26.2352200000,15.2158273381,1
0.1000000000,0.0000013466,26.2801400000,15.2158273381,1
0.1000000000,0.0000017719,26.3250500000,15.2158273381,1
0.1000000000,0.0000029414,26.3699700000,15.2158273381,1
0.1000000000,0.0000042171,26.4148900000,15.2158273381,1
0.1000000000,0.0000058827,26.4598000000,15.2158273381,1
0.1000000000,0.0000060599,26.5047200000,15.2158273381,1
0.1000000000,0.0000057764,26.5496300000,15.2158273381,1
